画像ex08.bmpのヒストグラム
明度,頻度
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,3
12,3
13,4
14,5
15,7
16,6
17,8
18,9
19,9
20,8
21,8
22,9
23,9
24,11
25,13
26,12
27,12
28,12
29,13
30,14
31,18
32,19
33,20
34,20
35,20
36,23
37,24
38,25
39,25
40,26
41,22
42,24
43,25
44,30
45,40
46,51
47,54
48,64
49,72
50,74
51,78
52,94
53,113
54,122
55,151
56,179
57,192
58,184
59,202
60,177
61,166
62,164
63,154
64,151
65,153
66,143
67,149
68,156
69,159
70,166
71,181
72,172
73,173
74,157
75,157
76,143
77,142
78,149
79,142
80,140
81,150
82,146
83,130
84,138
85,126
86,109
87,110
88,117
89,108
90,117
91,123
92,117
93,115
94,129
95,129
96,129
97,127
98,131
99,123
100,118
101,120
102,126
103,146
104,143
105,155
106,163
107,164
108,146
109,149
110,149
111,150
112,152
113,154
114,154
115,163
116,163
117,163
118,173
119,201
120,206
121,207
122,224
123,228
124,222
125,231
126,248
127,265
128,266
129,271
130,312
131,350
132,361
133,395
134,412
135,397
136,362
137,343
138,322
139,338
140,322
141,849
142,849
143,1648
144,1580
145,1528
146,966
147,909
148,54
149,34
150,22
151,0
152,0
153,0
154,0
155,0
156,0
157,0
158,0
159,0
160,0
161,0
162,0
163,0
164,0
165,0
166,0
167,0
168,0
169,0
170,0
171,0
172,0
173,0
174,0
175,0
176,0
177,0
178,0
179,0
180,0
181,0
182,0
183,0
184,0
185,0
186,0
187,0
188,0
189,0
190,0
191,0
192,0
193,0
194,0
195,0
196,0
197,0
198,0
199,0
200,0
201,0
202,0
203,0
204,0
205,0
206,0
207,0
208,0
209,0
210,0
211,0
212,0
213,0
214,0
215,0
216,0
217,0
218,0
219,0
220,0
221,0
222,0
223,0
224,0
225,0
226,0
227,0
228,0
229,0
230,0
231,0
232,0
233,0
234,0
235,0
236,0
237,0
238,0
239,0
240,0
241,0
242,0
243,0
244,0
245,0
246,0
247,0
248,0
249,0
250,0
251,0
252,0
253,0
254,0
255,0
